Date,Close
1/2/2018,120.38
1/3/2018,123.58
1/4/2018,122.46
1/5/2018,121.23
1/8/2018,121.09
1/9/2018,123.15
1/10/2018,123.06
1/11/2018,125.41
1/12/2018,127.53
1/16/2018,126.75
1/17/2018,130.21
1/18/2018,129.32
1/19/2018,128.97
1/22/2018,128.7
1/23/2018,127.22
1/24/2018,132.51
1/25/2018,131.93
1/26/2018,134.98
1/29/2018,134.77
1/30/2018,133.28
1/31/2018,133.55
2/1/2018,133.31
2/2/2018,129.66
2/5/2018,125.37
2/6/2018,127.66
2/7/2018,128.52
2/8/2018,122.45
2/9/2018,124.47
2/12/2018,129.27
2/13/2018,129.03
2/14/2018,130.53
2/15/2018,131.71
2/16/2018,131.68
2/20/2018,131.56
2/21/2018,130.55
2/22/2018,129.6
2/23/2018,130.2
2/26/2018,130.4
2/27/2018,128.86
2/28/2018,126.6
3/1/2018,123.97
3/2/2018,122.63
3/5/2018,121.36
3/6/2018,123.8
3/7/2018,123.53
3/8/2018,124.78
3/9/2018,126.62
3/12/2018,125.26
3/13/2018,125.95
3/14/2018,125.63
3/15/2018,124.65
3/16/2018,124.75
3/19/2018,124.42
3/20/2018,124.86
3/21/2018,123.37
3/22/2018,120.18
3/23/2018,117.04
3/26/2018,119.92
3/27/2018,118.3
3/28/2018,116.53
3/29/2018,117.74
4/2/2018,116.26
4/3/2018,115.65
4/4/2018,116.85
4/5/2018,117.82
4/6/2018,114.83
4/9/2018,115.13
4/10/2018,112.92
4/11/2018,113.16
4/12/2018,114.73
4/13/2018,113.74
4/16/2018,115.71
4/17/2018,116.96
4/18/2018,118.3
4/19/2018,117.98
4/20/2018,119.09
4/23/2018,119.71
4/24/2018,117.27
4/25/2018,118.49
4/26/2018,112.93
4/27/2018,111.82
4/30/2018,108.19
5/1/2018,109.56
5/2/2018,107.19
5/3/2018,106.34
5/4/2018,107.36
5/7/2018,105.06
5/8/2018,104.07
5/9/2018,105.17
5/10/2018,107.27
5/11/2018,107.06
5/14/2018,107.13
5/15/2018,106.62
5/16/2018,107.99
5/17/2018,107.35
5/18/2018,106.96
5/21/2018,107.22
5/22/2018,107.51
5/23/2018,106.33
5/24/2018,106.7
5/25/2018,109.8
5/29/2018,105.78
5/30/2018,106.05
5/31/2018,104.98
6/1/2018,106.33
6/4/2018,106.51
6/5/2018,102.15
6/6/2018,104.38
