Date,Close
1/2/2018,133.75
1/3/2018,136.45
1/4/2018,135.7
1/5/2018,134.4
1/8/2018,136.34
1/9/2018,137.71
1/10/2018,137.7
1/11/2018,139.43
1/12/2018,139.78
1/16/2018,139.12
1/17/2018,142
1/18/2018,141.13
1/19/2018,144.07
1/22/2018,143.81
1/23/2018,145.8
1/24/2018,144.39
1/25/2018,145.5
1/26/2018,147.14
1/29/2018,147.99
1/30/2018,147.27
1/31/2018,147.34
2/1/2018,147.52
2/2/2018,141.17
2/5/2018,136.34
2/6/2018,140.03
2/7/2018,139.64
2/8/2018,133.88
2/9/2018,136.29
2/12/2018,139.1
2/13/2018,140.61
2/14/2018,145.24
2/15/2018,141.29
2/16/2018,138.5
2/20/2018,140.44
2/21/2018,141.96
2/22/2018,140.6
2/23/2018,142.17
2/26/2018,141.35
2/27/2018,138.12
2/28/2018,141.21
3/1/2018,137.54
3/2/2018,139.58
3/5/2018,135.73
3/6/2018,137.61
3/7/2018,138.98
3/8/2018,139.35
3/9/2018,143.29
3/12/2018,141.81
3/13/2018,141.75
3/14/2018,141.43
3/15/2018,141.73
3/16/2018,141.06
3/19/2018,139.82
3/20/2018,140.55
3/21/2018,140.42
3/22/2018,137.25
3/23/2018,133.76
3/26/2018,138.92
3/27/2018,135.59
3/28/2018,133.9
3/29/2018,135.98
4/2/2018,132.07
4/3/2018,132.5
4/4/2018,135.81
4/5/2018,134.44
4/6/2018,130.93
4/9/2018,130.72
4/10/2018,129.84
4/11/2018,132.03
4/12/2018,133.01
4/13/2018,131.06
4/16/2018,133.47
4/17/2018,136.81
4/18/2018,138.31
4/19/2018,137.62
4/20/2018,137.48
4/23/2018,137.63
4/24/2018,136.9
4/25/2018,137.24
4/26/2018,137.76
4/27/2018,137.42
4/30/2018,136.68
5/1/2018,137.6
5/2/2018,134.16
5/3/2018,134.64
5/4/2018,135.85
5/7/2018,136.64
5/8/2018,139.31
5/9/2018,137.9
5/10/2018,138.57
5/11/2018,139.82
5/14/2018,139.35
5/15/2018,138.86
5/16/2018,140.44
5/17/2018,138.29
5/18/2018,138.29
5/21/2018,138.8
5/22/2018,137.78
5/23/2018,137.59
5/24/2018,137.87
5/25/2018,137.97
5/29/2018,134.55
5/30/2018,136.27
5/31/2018,136.27
6/1/2018,138.34
6/4/2018,138.69
6/5/2018,138.22
6/6/2018,141.57
6/7/2018,139.44
6/8/2018,138.38
6/11/2018,139.14
6/12/2018,139.86
6/13/2018,138.35
6/14/2018,138.75
6/15/2018,138.83
6/18/2018,138.67
6/19/2018,136.58
6/20/2018,135.99
6/21/2018,133.73
6/22/2018,132.61
6/25/2018,129.1
6/26/2018,129.43
6/27/2018,126.94
6/28/2018,125.26
6/29/2018,126.6
7/2/2018,126.49
7/3/2018,124.52
7/5/2018,126.49
7/6/2018,127.66
7/9/2018,130.16
7/10/2018,130.73
7/11/2018,129.85
7/12/2018,130.77
7/13/2018,131.01
7/16/2018,130.79
7/17/2018,130.45
7/18/2018,133.13
7/19/2018,133.2
7/20/2018,133.05
7/23/2018,132.03
7/24/2018,130.02
7/25/2018,131.5
7/26/2018,130.97
7/27/2018,128.55
7/30/2018,125.91
7/31/2018,127.84
8/1/2018,127.87
8/2/2018,129.13
