Date,Close
1/2/2018,56.74
1/3/2018,55.69
1/4/2018,55.69
1/5/2018,55.97
1/8/2018,54.68
1/9/2018,54.17
1/10/2018,55.86
1/11/2018,58.52
1/12/2018,59.83
1/16/2018,59.35
1/17/2018,59.72
1/18/2018,59.45
1/19/2018,60.01
1/22/2018,60.13
1/23/2018,59.93
1/24/2018,56.8
1/25/2018,54.81
1/26/2018,55.26
1/29/2018,55.76
1/30/2018,56.12
1/31/2018,56.77
2/1/2018,56.42
2/2/2018,54.62
2/5/2018,52.52
2/6/2018,53.1
2/7/2018,53.85
2/8/2018,51.23
2/9/2018,50.46
2/12/2018,52.05
2/13/2018,52.17
2/14/2018,52.2
2/15/2018,52.95
2/16/2018,52.85
2/20/2018,52.47
2/21/2018,53.16
2/22/2018,52.55
2/23/2018,53.46
2/26/2018,54.69
2/27/2018,53.62
2/28/2018,53.9
3/1/2018,53.35
3/2/2018,53.26
3/5/2018,53.79
3/6/2018,53.84
3/7/2018,53.53
3/8/2018,54.64
3/9/2018,56.09
3/12/2018,56.16
3/13/2018,56.59
3/14/2018,56.15
3/15/2018,56.34
3/16/2018,56.69
3/19/2018,55.96
3/20/2018,56.5
3/21/2018,55.95
3/22/2018,54.67
3/23/2018,53.9
3/26/2018,55.06
3/27/2018,54.26
3/28/2018,53.93
3/29/2018,54.81
4/2/2018,51.95
4/3/2018,53.72
4/4/2018,53.86
4/5/2018,54.21
4/6/2018,53.05
4/9/2018,52.56
4/10/2018,52.36
4/11/2018,51.47
4/12/2018,52.98
4/13/2018,52.92
4/16/2018,54.3
4/17/2018,54.55
4/18/2018,55.21
4/19/2018,55.07
4/20/2018,55.4
4/23/2018,54.61
4/24/2018,53.81
4/25/2018,54.65
4/26/2018,53.13
4/27/2018,53.5
4/30/2018,52.22
5/1/2018,52.74
5/2/2018,52.36
5/3/2018,51.79
5/4/2018,52.34
5/7/2018,51.9
5/8/2018,52.37
5/9/2018,51.62
5/10/2018,52.06
5/11/2018,52.9
5/14/2018,52.09
5/15/2018,52.37
5/16/2018,53.48
5/17/2018,53.1
5/18/2018,52.95
5/21/2018,53.98
5/22/2018,53.52
5/23/2018,53.4
5/24/2018,54.4
5/25/2018,55.87
5/29/2018,54.23
5/30/2018,54.31
5/31/2018,54.05
6/1/2018,54.42
6/4/2018,55.19
6/5/2018,54.67
6/6/2018,54.17
6/7/2018,53.46
6/8/2018,54.09
6/11/2018,54.89
6/12/2018,54.55
6/13/2018,54.65
6/14/2018,54.9
6/15/2018,55.18
6/18/2018,54.8
6/19/2018,53.78
6/20/2018,53.84
6/21/2018,53.73
6/22/2018,52.72
6/25/2018,51.31
6/26/2018,51.07
6/27/2018,49.89
6/28/2018,49.8
6/29/2018,49.54
7/2/2018,49.92
7/3/2018,48.78
7/5/2018,49.26
7/6/2018,49.58
7/9/2018,50.51
7/10/2018,50.6
7/11/2018,49.84
7/12/2018,50.73
7/13/2018,50.77
7/16/2018,50.67
7/17/2018,51.14
7/18/2018,52.8
7/19/2018,53
7/20/2018,51.99
7/23/2018,52.24
7/24/2018,51.68
7/25/2018,51.66
7/26/2018,53.98
7/27/2018,54.46
7/30/2018,53.79
7/31/2018,54.42
8/1/2018,53.59
8/2/2018,53.91
8/3/2018,54.26
8/6/2018,54.42
8/7/2018,54.7
8/8/2018,55.23
8/9/2018,55.34
8/10/2018,54.71
8/13/2018,54.22
8/14/2018,54.76
8/15/2018,55.23
8/16/2018,55.45
8/17/2018,55.65
8/20/2018,57.42
8/21/2018,57.6
8/22/2018,56.91
8/23/2018,56.94
8/24/2018,57.18
8/27/2018,57.75
8/28/2018,58.79
8/29/2018,58.52
8/30/2018,58.44
8/31/2018,58.48
9/4/2018,58.88
9/5/2018,57.21
9/6/2018,56.44
9/7/2018,56.86
9/10/2018,57.56
9/11/2018,58.27
9/12/2018,57.39
9/13/2018,57.82
9/14/2018,57.93
9/17/2018,57.96
9/18/2018,57.83
9/19/2018,57.9
9/20/2018,58.13
9/21/2018,59.61
9/24/2018,57.41
9/25/2018,57.1
9/26/2018,57.51
9/27/2018,58
9/28/2018,57.83
10/1/2018,56.6
10/2/2018,54.69
10/3/2018,54.32
10/4/2018,53.56
10/5/2018,52.7
10/8/2018,52.14
10/9/2018,50.86
10/10/2018,49.71
10/11/2018,51.48
10/12/2018,52.05
10/15/2018,51.84
10/16/2018,53.11
10/17/2018,54.3
10/18/2018,53.13
10/19/2018,53.39
10/22/2018,54.24
10/23/2018,53.45
10/24/2018,51.51
10/25/2018,53.71
10/26/2018,53.28
10/29/2018,53.42
10/30/2018,55.12
10/31/2018,54.73
11/1/2018,56.04
11/2/2018,56.12
11/5/2018,56.05
11/6/2018,55.47
11/7/2018,56.79
11/8/2018,56.73
11/9/2018,56.65
11/12/2018,56.7
11/13/2018,56.82
11/14/2018,56.43
11/15/2018,56.1
11/16/2018,55.9
11/19/2018,56.19
11/20/2018,55.41
11/21/2018,55.97
11/23/2018,57.16
11/26/2018,56.71
11/27/2018,58.31
11/28/2018,58.87
11/29/2018,58.86
11/30/2018,60.71
12/3/2018,60.12
12/4/2018,56.94
12/6/2018,58.08
12/7/2018,56.07
12/10/2018,56.32
12/11/2018,55.89
12/12/2018,56.27
12/13/2018,53.55
12/14/2018,53.51
12/17/2018,52.39
12/18/2018,52.95
12/19/2018,51.93
12/20/2018,50.91
12/21/2018,49.45
12/24/2018,47.96
12/26/2018,50.41
12/27/2018,50.5
12/28/2018,50.18
12/31/2018,49.9
1/2/2019,50.09
1/3/2019,45.61
1/4/2019,47.79
1/7/2019,47.85
1/8/2019,47.47
1/9/2019,48.47
1/10/2019,48.73
1/11/2019,48.56
1/14/2019,47.75
1/15/2019,47.83
1/16/2019,47.5
1/17/2019,48.22
1/18/2019,48.11
1/22/2019,47.1
1/23/2019,47.3
1/24/2019,47.52
1/25/2019,47.69
1/28/2019,48.01
1/29/2019,48.22
1/30/2019,50.27
1/31/2019,49.43
2/1/2019,49.92
2/4/2019,50.34
2/5/2019,50.54
2/6/2019,50.52
2/7/2019,50.41
2/8/2019,50.47
2/11/2019,50.61
2/12/2019,49.89
2/13/2019,50.41
2/14/2019,50.48
2/15/2019,51.08
2/19/2019,51.82
2/20/2019,51.24
2/21/2019,51.48
2/22/2019,51.52
2/25/2019,51.41
2/26/2019,51.12
2/27/2019,50.43
2/28/2019,49.58
3/1/2019,48.96
3/4/2019,48.79
3/5/2019,49.72
3/6/2019,49.71
3/7/2019,49.59
3/8/2019,49.59
3/11/2019,51.12
3/12/2019,50.67
3/13/2019,51.02
3/14/2019,50.94
3/15/2019,51.19
3/18/2019,50.74
3/19/2019,50.96
3/20/2019,49.87
3/21/2019,50.3
3/22/2019,49.76
3/25/2019,49.03
3/26/2019,49.09
3/27/2019,49.97
3/28/2019,50.32
3/29/2019,51.65
4/1/2019,52.18
4/2/2019,55.33
4/3/2019,57
4/4/2019,57.22
4/5/2019,57.73
4/8/2019,57.71
4/9/2019,56.95
4/10/2019,57.86
4/11/2019,58.39
4/12/2019,58.05
4/15/2019,57.45
4/16/2019,58.11
4/17/2019,58.43
4/18/2019,58.17
4/22/2019,57.75
4/23/2019,58.24
4/24/2019,57.85
4/25/2019,56.71
4/26/2019,57.11
4/29/2019,57.73
4/30/2019,58.29
5/1/2019,57.18
5/2/2019,57.66
5/3/2019,57.8
5/6/2019,57.73
5/7/2019,57.17
5/8/2019,56.45
5/9/2019,56.59
5/10/2019,56.62
5/13/2019,54.8
5/14/2019,55.25
5/15/2019,55.05
5/16/2019,55.38
5/17/2019,54.89
5/20/2019,54.28
5/21/2019,54.83
5/22/2019,54.06
5/23/2019,54
5/24/2019,54.12
5/28/2019,53.88
5/29/2019,53.21
5/30/2019,53.03
5/31/2019,51.5
6/3/2019,52.1
6/4/2019,54.31
6/5/2019,54.94
6/6/2019,54.69
6/7/2019,55.07
6/10/2019,54.73
6/11/2019,54.88
6/12/2019,55.45
6/13/2019,56.52
6/14/2019,55.99
6/17/2019,55.67
6/18/2019,56.03
6/19/2019,56.36
6/20/2019,55.97
6/21/2019,55.99
6/24/2019,56.07
6/25/2019,55.92
6/26/2019,56.38
6/27/2019,56.82
6/28/2019,56.75
7/1/2019,57.79
7/2/2019,58.54
7/3/2019,59.15
7/5/2019,58.7
7/8/2019,59.37
7/9/2019,58.96
7/10/2019,59.47
7/11/2019,60.16
7/12/2019,61.65
7/15/2019,61.7
7/16/2019,63.16
7/17/2019,62.25
7/18/2019,62.66
7/19/2019,60.91
7/22/2019,61.29
7/23/2019,63.09
7/24/2019,63.16
7/25/2019,62.23
7/26/2019,62.16
7/29/2019,62.46
7/30/2019,62.63
7/31/2019,61.04
8/1/2019,60.32
8/2/2019,60.13
8/5/2019,57.82
8/6/2019,58.79
8/7/2019,59.24
8/8/2019,60.03
8/9/2019,59.53
8/12/2019,58.66
8/13/2019,58.84
8/14/2019,57.23
8/15/2019,57.11
8/16/2019,58.04
8/19/2019,58.19
8/20/2019,57.68
8/21/2019,58.01
8/22/2019,57.96
8/23/2019,56.2
8/26/2019,56.28
8/27/2019,56.14
8/28/2019,56.68
8/29/2019,57.88
8/30/2019,57.86
9/3/2019,57.29
9/4/2019,57.23
9/5/2019,58.19
9/6/2019,57.98
9/9/2019,58.11
9/10/2019,58.64
9/11/2019,58.78
9/12/2019,59.44
9/13/2019,60.01
9/16/2019,59.07
9/17/2019,59.37
9/18/2019,59.31
9/19/2019,58.69
9/20/2019,58.63
9/23/2019,58.02
9/24/2019,58
9/25/2019,58.31
9/26/2019,58.78
9/27/2019,58.28
9/30/2019,57.6
10/1/2019,57.01
10/2/2019,54.35
10/3/2019,52.83
10/4/2019,53.81
10/7/2019,53.36
10/8/2019,53.2
10/9/2019,53.92
10/10/2019,53.1
10/11/2019,52.95
10/14/2019,52.99
10/15/2019,53.64
10/16/2019,53.17
10/17/2019,53.37
10/18/2019,53.83
10/21/2019,54.58
10/22/2019,54.65
10/23/2019,53.81
10/24/2019,53.79
10/25/2019,54.6
10/28/2019,55.17
10/29/2019,55.38
10/30/2019,55.32
10/31/2019,55.08
11/1/2019,56.02
11/4/2019,56.88
11/5/2019,57.51
11/6/2019,57.58
11/7/2019,57.66
11/8/2019,57.58
11/11/2019,57.21
11/12/2019,57.22
11/13/2019,56.5
11/14/2019,56.55
11/15/2019,56.85
11/18/2019,57.08
11/19/2019,57.07
11/20/2019,55.67
11/21/2019,55.31
11/22/2019,56.11
11/25/2019,56.35
11/26/2019,57.46
11/27/2019,57.07
11/29/2019,57.31
12/2/2019,56.75
12/3/2019,55.62
12/4/2019,56.06
12/5/2019,55.88
12/6/2019,56.14
12/9/2019,55.8
12/10/2019,55.53
12/11/2019,55.08
12/12/2019,56.69
12/13/2019,56.73
12/16/2019,58.42
12/17/2019,58.69
12/18/2019,58.58
